Standard,ENG,POR,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Census_year,Census_year,Ano_censo,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,,,,,,,,
HEI_Code,HEI_Code,IES_Código,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES
HEI_Academic_level,HEI_Academic_level,IES_Categoria_acadêmica,TP_ORGANIZACAO_ACADEMICA,TP_ORGANIZACAO_ACADEMICA,TP_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA
HEI_Administrative_type,HEI_Administrative_type,IES_Categoria_administrativa,TP_CATEGORIA_ADMINISTRATIVA,TP_CATEGORIA_ADMINISTRATIVA,TP_CATEGORIA_ADMINISTRATIVA,CO_CATEGORIA_ADMINISTRATIVA,CO_CATEGORIA_ADMINISTRATIVA,CO_CATEGORIA_ADMINISTRATIVA,CO_CATEGORIA_ADMINISTRATIVA,CO_CATEGORIA_ADMINISTRATIVA,CO_CATEGORIA_ADMINISTRATIVA,CO_CATEGORIA_ADMINISTRATIVA,CO_CATEGORIA_ADMINISTRATIVA
Code_contract,Code_contract,Código_vínculo,CO_DOCENTE_IES,CO_DOCENTE_IES,CO_DOCENTE_IES,CO_DOCENTE_IES,CO_DOCENTE_IES,CO_DOCENTE_IES,CO_DOCENTE_IES,CO_DOCENTE_IES,CO_DOCENTE_IES,CO_DOCENTE_IES,CO_VINCULO_IES_DOCENTE
ID,ID,ID,ID_DOCENTE,ID_DOCENTE,CO_DOCENTE,CO_DOCENTE,CO_DOCENTE,CO_DOCENTE,CO_DOCENTE,CO_DOCENTE,CO_DOCENTE,CO_DOCENTE,CO_DOCENTE
Status,Status,Situação,TP_SITUACAO,TP_SITUACAO,TP_SITUACAO,CO_SITUACAO_DOCENTE,CO_SITUACAO_DOCENTE,CO_SITUACAO_DOCENTE,CO_SITUACAO_DOCENTE,CO_SITUACAO_DOCENTE,CO_SITUACAO_DOCENTE,CO_SITUACAO_DOCENTE,CO_SITUACAO_DOCENTE
Education,Education,Escolaridade,TP_ESCOLARIDADE,TP_ESCOLARIDADE,TP_ESCOLARIDADE,CO_ESCOLARIDADE_DOCENTE,CO_ESCOLARIDADE_DOCENTE,CO_ESCOLARIDADE_DOCENTE,CO_ESCOLARIDADE_DOCENTE,CO_ESCOLARIDADE_DOCENTE,CO_ESCOLARIDADE_DOCENTE,CO_ESCOLARIDADE_DOCENTE,CO_ESCOLARIDADE_DOCENTE
Work_contract,Work_contract,Regime_trabalho,TP_REGIME_TRABALHO,TP_REGIME_TRABALHO,TP_REGIME_TRABALHO,CO_REGIME_TRABALHO,CO_REGIME_TRABALHO,CO_REGIME_TRABALHO,CO_REGIME_TRABALHO,CO_REGIME_TRABALHO,CO_REGIME_TRABALHO,CO_REGIME_TRABALHO,CO_REGIME_TRABALHO
Sex,Sex,Sexo,TP_SEXO,TP_SEXO,TP_SEXO,IN_SEXO_DOCENTE,IN_SEXO_DOCENTE,IN_SEXO_DOCENTE,IN_SEXO_DOCENTE,IN_SEXO_DOCENTE,IN_SEXO_DOCENTE,IN_SEXO_DOCENTE,IN_SEXO_DOCENTE
Age,Age,Idade,NU_IDADE,NU_IDADE,NU_IDADE,NU_IDADE_DOCENTE,NU_IDADE_DOCENTE,NU_IDADE_DOCENTE,NU_IDADE_DOCENTE,NU_IDADE_DOCENTE,NU_IDADE_DOCENTE,NU_IDADE_DOCENTE,NU_IDADE_DOCENTE
Race,Race,Raça,TP_COR_RACA,TP_COR_RACA,TP_COR_RACA,CO_COR_RACA_DOCENTE,CO_COR_RACA_DOCENTE,CO_COR_RACA_DOCENTE,CO_COR_RACA_DOCENTE,CO_COR_RACA_DOCENTE,CO_COR_RACA_DOCENTE,CO_COR_RACA_DOCENTE,CO_COR_RACA_DOCENTE
Origin_country_code,Origin_country_code,País_origem_código,CO_PAIS_ORIGEM,CO_PAIS_ORIGEM,CO_PAIS_ORIGEM,CO_PAIS_DOCENTE,CO_PAIS_DOCENTE,CO_PAIS_DOCENTE,CO_PAIS_DOCENTE,CO_PAIS_DOCENTE,CO_PAIS_DOCENTE,CO_PAIS_DOCENTE,CO_PAIS_DOCENTE
Nationality,Nationality,Nacionalidade,TP_NACIONALIDADE,TP_NACIONALIDADE,TP_NACIONALIDADE,CO_NACIONALIDADE_DOCENTE,CO_NACIONALIDADE_DOCENTE,CO_NACIONALIDADE_DOCENTE,CO_NACIONALIDADE_DOCENTE,CO_NACIONALIDADE_DOCENTE,CO_NACIONALIDADE_DOCENTE,CO_NACIONALIDADE_DOCENTE,CO_NACIONALIDADE_DOCENTE
Birth_state,Birth_state,Nascimento_estado,CO_UF_NASCIMENTO,CO_UF_NASCIMENTO,CO_UF_NASCIMENTO,CO_UF_NASCIMENTO,CO_UF_NASCIMENTO,CO_UF_NASCIMENTO,CO_UF_NASCIMENTO,CO_UF_NASCIMENTO,CO_UF_NASCIMENTO,CO_UF_NASCIMENTO,
Birth_city,Birth_city,Nascimento_município,CO_MUNICIPIO_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,
