Standard,ENG,POR,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009 not supported yet
Census_year,Census_year,Ano_censo,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,,,,,,,,
Code,Code,Código,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO
Name,Name,Nome,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO,NO_CURSO
Region,Region,Região,NO_REGIAO,NO_REGIAO,NO_REGIAO,NO_REGIAO,,,,NO_REGIAO_CURSO,NO_REGIAO_CURSO,NO_REGIAO_CURSO,NO_REGIAO_CURSO,NO_REGIAO_CURSO,NO_REGIAO_CURSO,NO_REGIAO_CURSO,NO_REGIAO_CURSO
Meso-region,Meso-region,Meso-região,,,,,,,,,,,,,,,
Micro-region,Micro-region,Micro-região,,,,,,,,,,,,,,,
State,State,UF,CO_UF,CO_UF,CO_UF,CO_UF,CO_UF,CO_UF,CO_UF,CO_UF_CURSO,CO_UF_CURSO,CO_UF_CURSO,CO_UF_CURSO,CO_UF_CURSO,CO_UF_CURSO,CO_UF_CURSO,CO_UF_CURSO
City,City,Município,CO_MUNICIPIO,CO_MUNICIPIO,CO_MUNICIPIO,CO_MUNICIPIO,CO_MUNICIPIO,CO_MUNICIPIO,CO_MUNICIPIO,CO_MUNICIPIO_CURSO,CO_MUNICIPIO_CURSO,CO_MUNICIPIO_CURSO,CO_MUNICIPIO_CURSO,CO_MUNICIPIO_CURSO,CO_MUNICIPIO_CURSO,CO_MUNICIPIO_CURSO,CO_MUNICIPIO_CURSO
Capital,Capital,Capital,IN_CAPITAL,IN_CAPITAL,IN_CAPITAL,IN_CAPITAL,IN_CAPITAL,IN_CAPITAL,IN_CAPITAL,IN_CAPITAL_CURSO,IN_CAPITAL_CURSO,IN_CAPITAL_CURSO,IN_CAPITAL_CURSO,IN_CAPITAL_CURSO,IN_CAPITAL_CURSO,,
Academic_level,Academic_level,Categoria_acadêmica,TP_ORGANIZACAO_ACADEMICA,TP_ORGANIZACAO_ACADEMICA,TP_ORGANIZACAO_ACADEMICA,TP_ORGANIZACAO_ACADEMICA,TP_ORGANIZACAO_ACADEMICA,TP_ORGANIZACAO_ACADEMICA,TP_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA,CO_ORGANIZACAO_ACADEMICA
